,obs,name,jd,mnvel,errvel,sval,cts,tel
43534,,190067,2456588.609748,-0.3242418945503971,1.8510597,,17223.0,apf
43535,,190067,2456588.724172,0.46479032451435387,1.9748746,,16322.0,apf
43536,,190067,2456589.761449,-4.629066667260815,2.236665,,15408.0,apf
43537,,190067,2456591.735362,-2.6518730018088377,2.0930882,,15899.0,apf
43538,,190067,2456606.60436,-3.01225794211652,1.9709526,,16820.0,apf
43539,,190067,2456606.682305,-1.0863946433200908,1.9813514,,16556.0,apf
43540,,190067,2456607.710174,-2.5609979193612844,2.5621228,,11182.0,apf
43541,,190067,2456610.64398,-5.115371361264096,2.4753883,,9955.0,apf
43542,,190067,2456626.681375,0.848850486662684,2.278256,,31163.0,apf
43543,,190360,2450365.720509,21.20422612963044,1.1954081,,188347.0,k
43544,,190360,2450605.058553,33.988604181388254,1.0752522,,219525.0,k
43545,,190360,2450666.910278,23.563616388419504,1.048307,,144138.0,k
43546,,190360,2451009.944792,-0.8001989191976833,1.0704367,,123536.0,k
43547,,190360,2451013.925035,2.833048456290598,1.199565,,131246.0,k
43548,,190360,2451052.018681,9.503054254630442,1.0000635,,135295.0,k
43549,,190360,2451068.819583,4.5015817814859105,1.15721,,179092.0,k
43550,,190360,2451069.855139,3.9893366032632542,1.2130052,,197329.0,k
43551,,190360,2451070.899873,11.317774408439035,1.2405506,,245162.0,k
43552,,190360,2451071.835498,-3.1919530695883083,1.2178457,,140565.0,k
43553,,190360,2451072.824109,3.2864099675210667,1.2172656,,140675.0,k
43554,,190360,2451073.820405,3.6303354435952855,0.9891178,,125167.0,k
43555,,190360,2451073.822025,1.2149835759195042,1.1184047,,130691.0,k
43556,,190360,2451074.812176,-0.13682306470549577,1.1575848,,108783.0,k
43557,,190360,2451075.746516,-11.966763860603933,2.3134568,,16707.0,k
43558,,190360,2451075.750926,-1.6635106867758083,1.3943255,,56154.0,k
43559,,190360,2451341.101204,-7.698209173103933,1.2278907,,203026.0,k
43560,,190360,2451368.973565,-15.552098638435965,1.497217,,49206.0,k
43561,,190360,2451410.906296,-6.824200994392996,1.1566731,,85852.0,k
43562,,190360,2451439.783935,-21.054349309822683,1.2486461,,87804.0,k
43563,,190360,2451679.061019,-18.623441106697683,1.144361,,91026.0,k
43564,,190360,2451703.081794,-10.722104436775808,1.1035478,,96096.0,k
43565,,190360,2451704.023137,-7.895070440193777,1.2402781,,91047.0,k
43566,,190360,2451705.071609,-14.37299097242034,1.2579752,,81823.0,k
43567,,190360,2451706.074028,-15.218610174080496,1.110757,,89232.0,k
43568,,190360,2452031.091678,-10.70001733960784,1.320114,,108917.0,k
43569,,190360,2452094.883634,-14.878560430428152,1.5030298,,73144.0,k
43570,,190360,2452100.930926,-21.913556463142996,1.2496127,,79459.0,k
43571,,190360,2452127.95515,-16.88074243726409,1.3448917,,85057.0,k
43572,,190360,2452160.832407,-18.26556146802581,1.4495507,,88678.0,k
43573,,190360,2452189.78897,-23.992886907478933,1.3463386,,84813.0,k
43574,,190360,2452238.681435,-17.13697565259612,1.2691166,,99653.0,k
43575,,190360,2452446.935694,-14.07056940259612,1.1551936,,112674.0,k
43576,,190360,2452487.829595,-7.0560659235922145,1.4239966,,92010.0,k
43577,,190360,2452487.830938,-9.120038396736746,1.4827616,,91739.0,k
43578,,190360,2452514.777882,-14.717496282478933,1.1699402,,93753.0,k
43579,,190360,2452515.887083,-15.404752141853933,1.3131362,,97518.0,k
43580,,190360,2452535.745023,-12.508420354744558,1.354425,,92795.0,k
43581,,190360,2452536.855914,-11.712743169685965,1.5365751,,95131.0,k
43582,,190360,2452539.862928,-1.417622930428152,1.2942401,,95626.0,k
